day,member_casual,number_of_rides,avgtime_mins,number_of_rides_percent
Monday,Customer,290064,1663.646684869546,35.62
Monday,Subscriber,524374,714.9426439907395,64.38
Tuesday,Customer,295890,1509.5828889114198,32.88
Tuesday,Subscriber,603966,720.1419417649338,67.12
Wednesday,Customer,325631,1447.2399034489958,33.71
Wednesday,Subscriber,640381,717.8278759051251,66.29
Thursday,Customer,356224,1463.5035202569172,35.79
Thursday,Subscriber,639125,725.978076276159,64.21
Friday,Customer,402937,1662.722576978535,41.15
Friday,Subscriber,576151,747.5716296595858,58.85
Saturday,Customer,525064,1940.7323945271432,50.53
Saturday,Subscriber,514043,844.6021791951258,49.47
Sunday,Customer,417202,1998.7397519666733,48.84
Sunday,Subscriber,436956,833.7285104221021,51.16
